SubjectID,lat,lon,time_durations,start_time,end_time,DBScan_labels,DBScan_loc,DBSCAN_Lat,DBSCAN_Lon
u00,43.706615,-72.287053,1200,1364631509,1364632709,0,"(43.7066148, -72.2870532)",43.7066148,-72.2870532
u00,43.705648,-72.283179,1200,1364694731,1364695931,1,"(43.7056478, -72.28317879999999)",43.7056478,-72.28317879999999
u00,43.705629,-72.283199,1200,1364700731,1364701931,2,"(43.7056291, -72.28319859999998)",43.7056291,-72.28319859999998
u00,43.7056,-72.283181,1200,1364718731,1364719931,3,"(43.70560029999999, -72.2831813)",43.70560029999999,-72.2831813
u00,43.706607,-72.287033,1200,1364785931,1364787131,4,"(43.7066069, -72.28703270000003)",43.7066069,-72.28703270000003
u00,43.706591,-72.287018,2400,1365384731,1365387131,5,"(43.7065913, -72.28701815)",43.7065913,-72.28701815
u00,43.706618,-72.287074,2400,1365529931,1365532331,6,"(43.70661815, -72.28707375000002)",43.70661815,-72.28707375000002
u00,43.706616,-72.287087,2400,1365547931,1365550331,7,"(43.706616, -72.28708695)",43.706616,-72.28708695
u00,43.706612,-72.287021,1200,1367226362,1367227562,8,"(43.7066116, -72.2870211)",43.7066116,-72.2870211
u00,43.70661,-72.287043,1200,1368201596,1368202796,9,"(43.706610299999994, -72.2870431)",43.706610299999994,-72.2870431
u00,43.706641,-72.287047,600,1368423267,1368423867,10,"(43.7066409, -72.28704725)",43.7066409,-72.28704725
u00,43.706626,-72.287075,1200,1368628276,1368629476,11,"(43.7066255, -72.28707465000002)",43.7066255,-72.28707465000002
u01,43.70082,-72.294016,747,1364588143,1364588890,0,"(43.7008199, -72.2940158)",43.7008199,-72.2940158
u01,43.7072,-72.290757,1200,1365395087,1365396287,1,"(43.7072005, -72.2907573)",43.7072005,-72.2907573
u01,43.707152,-72.290738,1202,1365583949,1365585151,2,"(43.7071516, -72.29073844999999)",43.7071516,-72.29073844999999
u01,43.707186,-72.290757,2400,1365677550,1365679950,3,"(43.7071864, -72.2907568)",43.7071864,-72.2907568
u01,43.707187,-72.290759,2400,1365711150,1365713550,4,"(43.707186500000006, -72.29075929999999)",43.707186500000006,-72.29075929999999
u01,43.707187,-72.290759,1200,1365717150,1365718350,4,"(43.707186500000006, -72.29075929999999)",43.707186500000006,-72.29075929999999
u01,43.705839,-72.288789,1200,1365744750,1365745950,5,"(43.7058393, -72.28878890000001)",43.7058393,-72.28878890000001
u01,43.707144,-72.290759,3600,1365765150,1365768750,6,"(43.7071445, -72.29075946666666)",43.7071445,-72.29075946666666
u01,43.707208,-72.290762,1200,1365853413,1365854613,7,"(43.7072081, -72.2907619)",43.7072081,-72.2907619
u01,43.707186,-72.290759,4800,1365921985,1365926785,4,"(43.707186500000006, -72.29075929999999)",43.707186500000006,-72.29075929999999
u01,43.707187,-72.290759,2400,1365930385,1365932785,4,"(43.707186500000006, -72.29075929999999)",43.707186500000006,-72.29075929999999
u01,43.707208,-72.290762,1200,1366019331,1366020531,7,"(43.7072081, -72.2907619)",43.7072081,-72.2907619
u01,43.70721,-72.29076,1200,1366021731,1366022931,8,"(43.7072095, -72.2907595)",43.7072095,-72.2907595
u01,43.707168,-72.29058,6000,1366049331,1366055331,9,"(43.7071683, -72.29057994)",43.7071683,-72.29057994
u01,43.707186,-72.290759,3600,1366074531,1366078131,4,"(43.707186500000006, -72.29075929999999)",43.707186500000006,-72.29075929999999
u01,43.707181,-72.290768,2400,1366102131,1366104531,10,"(43.707180699999995, -72.2907683)",43.707180699999995,-72.2907683
u01,43.707192,-72.290791,1200,1366111731,1366112931,11,"(43.7071927, -72.2907902)",43.7071927,-72.2907902
