SubjectID,lat,lon,time_durations,start_time,end_time,DBScan_labels,DBScan_loc,DBSCAN_Lat,DBSCAN_Lon
u00,43.707,-72.287,84000,1364493480,1364577480,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.707,-72.287,10800,1364583480,1364594280,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.707,-72.287,74016,1364601480,1364675520,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,54005,1364677920,1364731920,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,27600,1364739120,1364766720,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.707,-72.287,22799,1364773920,1364796720,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,26400,1364797920,1364824320,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,28802,1364830320,1364859120,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,54000,1364860320,1364914320,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,49294,1364915400,1364964720,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,43200,1364967120,1365010320,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,38400,1365016320,1365054720,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,34800,1365055920,1365090720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,43200,1365095520,1365138720,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,30000,1365139920,1365169920,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.706,-72.283,8395,1365174720,1365183120,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,16800,1365189120,1365205920,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,69600,1365213120,1365282720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,29999,1365285120,1365315120,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,60000,1365317520,1365377520,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,24000,1365379920,1365403920,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,22805,1365406320,1365429120,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.708,-72.284,3605,1365430320,1365433920,2,"(43.708971625, -72.28399693749999)",43.708971625,-72.28399693749999
u00,43.706,-72.283,7200,1365435120,1365442320,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,37200,1365448320,1365485520,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,40801,1365487920,1365528720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,44400,1365529920,1365574320,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,39600,1365575520,1365615120,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,74400,1365621120,1365695520,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.707,-72.287,54001,1365700320,1365754320,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,32400,1365755520,1365787920,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,42001,1365793920,1365835920,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,45600,1365837120,1365882720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,123599,1365883920,1366007520,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,28800,1366009920,1366038720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.706,-72.283,4863,1366042260,1366047120,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.709,-72.284,3601,1366048320,1366051920,2,"(43.708971625, -72.28399693749999)",43.708971625,-72.28399693749999
u00,43.707,-72.287,126000,1366053120,1366179120,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
u00,43.706,-72.283,26400,1366180320,1366206720,1,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.707,-72.287,52800,1366211520,1366264320,0,"(43.706615245714296, -72.28704739857145)",43.706615245714296,-72.28704739857145
