SubjectID,lat,lon,time_durations,start_time,end_time,DBScan_labels,DBScan_loc,DBSCAN_Lat,DBSCAN_Lon
u00,43.7066,-72.287,84000,1364493480,1364577480,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.709,-72.2841,2399,1364579910,1364582280,1,"(43.7089826, -72.28407714999999)",43.7089826,-72.28407714999999
u00,43.7066,-72.287,10800,1364583480,1364594280,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7066,-72.287,72822,1364602680,1364675520,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7056,-72.2832,54005,1364677920,1364731920,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.7066,-72.287,27600,1364739120,1364766720,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7056,-72.2833,3600,1364767920,1364771520,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.7066,-72.287,22799,1364773920,1364796720,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7057,-72.2832,26400,1364797920,1364824320,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.7086,-72.2836,2399,1364825520,1364827920,3,"(43.70862256666666, -72.28362663333333)",43.70862256666666,-72.28362663333333
u00,43.7066,-72.287,27600,1364830320,1364857920,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7057,-72.2832,52800,1364860320,1364913120,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.7066,-72.287,48000,1364916720,1364964720,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7057,-72.2832,43200,1364967120,1365010320,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.709,-72.2841,2400,1365011520,1365013920,1,"(43.7089826, -72.28407714999999)",43.7089826,-72.28407714999999
u00,43.7066,-72.287,38400,1365016320,1365054720,0,"(43.70661570666667, -72.28705278666668)",43.70661570666667,-72.28705278666668
u00,43.7057,-72.2832,34800,1365055920,1365090720,2,"(43.70563690782609, -72.28318808391305)",43.70563690782609,-72.28318808391305
u00,43.7086,-72.2836,2400,1365091920,1365094320,3,"(43.70862256666666, -72.28362663333333)",43.70862256666666,-72.28362663333333
